Timestamp,Empfangen (Bytes),Gesendet (Bytes)
2025-06-03 13:21:38,353,367
2025-06-03 13:23:09,353,367
2025-06-03 13:25:26,353,367
2025-06-03 13:26:46,353,367
2025-06-03 13:28:56,353,367
2025-06-03 13:29:50,353,367
2025-06-11 12:06:43,353,367
2025-06-12 13:14:07,353,367
2025-06-13 09:28:02,353,367
2025-06-13 09:30:24,353,367
2025-06-13 09:46:38,353,367
2025-06-13 10:49:13,353,367
2025-06-13 11:01:00,353,367
2025-06-13 11:14:17,353,367
2025-06-14 08:25:02,353,367
2025-06-15 08:25:05,353,367
2025-06-16 08:25:04,353,367
2025-06-17 08:25:12,353,367
2025-06-17 16:46:23,0,14
2025-06-17 16:46:34,254,268
2025-06-17 16:46:35,4,18
2025-06-17 16:46:36,254,268
2025-06-18 08:25:07,353,367
2025-06-19 08:25:06,353,367
2025-06-20 08:25:13,353,367
2025-06-20 11:14:10,353,367
2025-06-21 08:25:09,353,367
2025-06-22 08:25:09,353,367
2025-06-23 07:43:44,353,367
2025-06-23 07:45:03,353,367
2025-06-23 07:48:15,353,367
2025-06-23 12:02:46,35,49
2025-06-23 13:23:55,35,49
2025-06-23 13:24:09,35,49
2025-06-23 13:24:23,35,49
2025-06-23 13:32:28,35,49
2025-06-23 13:37:42,35,49
2025-06-23 13:38:57,35,49
2025-06-23 13:39:42,35,49
2025-06-23 13:40:21,35,49
2025-06-23 14:12:54,35,49
2025-06-23 14:15:22,35,49
2025-06-23 14:16:34,35,49
2025-06-23 14:17:44,35,49
2025-07-01 06:35:05,353,367
2025-07-01 12:25:40,353,367
2025-07-01 12:40:28,353,367
2025-07-01 12:53:22,353,367
2025-07-01 12:56:23,353,367
2025-07-01 12:57:25,353,367
2025-07-01 13:09:09,353,367
2025-07-01 13:17:04,353,367
2025-07-01 13:19:58,353,367
2025-07-01 13:21:05,353,367
2025-07-01 13:42:29,353,367
2025-07-01 13:44:12,353,367
2025-07-01 14:12:01,353,367
2025-07-01 14:13:13,353,367
2025-07-01 14:14:30,353,367
2025-07-01 14:15:42,353,367
2025-07-01 14:18:37,353,367
2025-07-01 14:23:12,353,367
